time.drive,time.bicycle,time.walk,time.transit,weighted.gini,MEM
10,10,10,10,0.319530292,0.680469708
10,10,10,20,0.356133459,0.643866541
10,10,10,30,0.375473902,0.624526098
10,10,10,40,0.342455934,0.657544066
10,10,10,50,0.318676116,0.681323884
10,10,10,60,0.295977396,0.704022604
10,10,20,10,0.324150011,0.675849989
10,10,20,20,0.352393697,0.647606303
10,10,20,30,0.370384953,0.629615047
10,10,20,40,0.339129426,0.660870574
10,10,20,50,0.316154698,0.683845302
10,10,20,60,0.294668685,0.705331315
10,10,30,10,0.325755309,0.674244691
10,10,30,20,0.347539125,0.652460875
10,10,30,30,0.362255196,0.637744804
10,10,30,40,0.331840372,0.668159628
10,10,30,50,0.309848101,0.690151899
10,10,30,60,0.289913933,0.710086067
10,10,40,10,0.305188094,0.694811906
10,10,40,20,0.323472887,0.676527113
10,10,40,30,0.3374944,0.6625056
10,10,40,40,0.312576915,0.687423085
10,10,40,50,0.29268176,0.70731824
10,10,40,60,0.275257245,0.724742755
10,10,50,10,0.300732471,0.699267529
10,10,50,20,0.316771576,0.683228424
10,10,50,30,0.329339633,0.670660367
10,10,50,40,0.305469125,0.694530875
10,10,50,50,0.280941716,0.719058284
10,10,50,60,0.265040769,0.734959231
10,10,60,10,0.281228212,0.718771788
10,10,60,20,0.297221471,0.702778529
10,10,60,30,0.310950214,0.689049786
10,10,60,40,0.292737179,0.707262821
10,10,60,50,0.273323014,0.726676986
10,10,60,60,0.256433437,0.743566563
10,20,10,10,0.232664756,0.767335244
10,20,10,20,0.250614303,0.749385697
10,20,10,30,0.272884051,0.727115949
10,20,10,40,0.266156746,0.733843254
10,20,10,50,0.25169917,0.74830083
10,20,10,60,0.240110659,0.759889341
10,20,20,10,0.237370509,0.762629491
10,20,20,20,0.254137503,0.745862497
10,20,20,30,0.274636972,0.725363028
10,20,20,40,0.267600606,0.732399394
10,20,20,50,0.253122893,0.746877107
10,20,20,60,0.241363237,0.758636763
10,20,30,10,0.245857368,0.754142632
10,20,30,20,0.260646431,0.739353569
10,20,30,30,0.278022361,0.721977639
10,20,30,40,0.270174688,0.729825312
10,20,30,50,0.255421089,0.744578911
10,20,30,60,0.243292668,0.756707332
10,20,40,10,0.247135441,0.752864559
10,20,40,20,0.260471779,0.739528221
10,20,40,30,0.274401469,0.725598531
10,20,40,40,0.267193129,0.732806871
10,20,40,50,0.253585983,0.746414017
10,20,40,60,0.240937337,0.759062663
10,20,50,10,0.255808565,0.744191435
