time.drive,time.bicycle,time.walk,time.transit,weighted.gini,MEM
10,10,10,10,0.422409783,0.577590217
10,10,10,20,0.439946327,0.560053673
10,10,10,30,0.434535723,0.565464277
10,10,10,40,0.426368091,0.573631909
10,10,10,50,0.384858756,0.615141244
10,10,10,60,0.341368085,0.658631915
10,10,20,10,0.429046792,0.570953208
10,10,20,20,0.443642742,0.556357258
10,10,20,30,0.435616669,0.564383331
10,10,20,40,0.428260547,0.571739453
10,10,20,50,0.387754736,0.612245264
10,10,20,60,0.345204239,0.654795761
10,10,30,10,0.429821601,0.570178399
10,10,30,20,0.441867731,0.558132269
10,10,30,30,0.433543904,0.566456096
10,10,30,40,0.427199919,0.572800081
10,10,30,50,0.38950165,0.61049835
10,10,30,60,0.348109088,0.651890912
10,10,40,10,0.422322198,0.577677802
10,10,40,20,0.432625306,0.567374694
10,10,40,30,0.426837678,0.573162322
10,10,40,40,0.422626804,0.577373196
10,10,40,50,0.388349469,0.611650531
10,10,40,60,0.349251776,0.650748224
10,10,50,10,0.409365531,0.590634469
10,10,50,20,0.418923247,0.581076753
10,10,50,30,0.415160546,0.584839454
10,10,50,40,0.413228843,0.586771157
10,10,50,50,0.383555053,0.616444947
10,10,50,60,0.346960917,0.653039083
10,10,60,10,0.387834314,0.612165686
10,10,60,20,0.396915615,0.603084385
10,10,60,30,0.394256981,0.605743019
10,10,60,40,0.395388609,0.604611391
10,10,60,50,0.371625289,0.628374711
10,10,60,60,0.339468093,0.660531907
10,20,10,10,0.298322582,0.701677418
10,20,10,20,0.31131823,0.68868177
10,20,10,30,0.317126829,0.682873171
10,20,10,40,0.328480955,0.671519045
10,20,10,50,0.316765748,0.683234252
10,20,10,60,0.294973137,0.705026863
10,20,20,10,0.306819444,0.693180556
10,20,20,20,0.318764535,0.681235465
10,20,20,30,0.323142795,0.676857205
10,20,20,40,0.333597269,0.666402731
10,20,20,50,0.321336114,0.678663886
10,20,20,60,0.299176019,0.700823981
10,20,30,10,0.315815315,0.684184685
10,20,30,20,0.32636939,0.67363061
10,20,30,30,0.32903473,0.67096527
10,20,30,40,0.338429975,0.661570025
10,20,30,50,0.326029408,0.673970592
10,20,30,60,0.303522205,0.696477795
10,20,40,10,0.321833947,0.678166053
10,20,40,20,0.330924549,0.669075451
10,20,40,30,0.333383883,0.666616117
10,20,40,40,0.341487233,0.658512767
10,20,40,50,0.329209764,0.670790236
10,20,40,60,0.307074465,0.692925535
10,20,50,10,0.325132648,0.674867352
10,20,50,20,0.333538088,0.666461912
10,20,50,30,0.335439442,0.664560558
10,20,50,40,0.342015062,0.657984938
10,20,50,50,0.330427344,0.669572656
10,20,50,60,0.309113308,0.690886692
10,20,60,10,0.322230931,0.677769069
10,20,60,20,0.329892549,0.670107451
10,20,60,30,0.331172427,0.668827573
10,20,60,40,0.337200047,0.662799953
10,20,60,50,0.326902982,0.673097018
10,20,60,60,0.307277843,0.692722157
10,30,10,10,0.195115481,0.804884519
10,30,10,20,0.206097893,0.793902107
10,30,10,30,0.216702552,0.783297448
10,30,10,40,0.235760859,0.764239141
10,30,10,50,0.238176549,0.761823451
10,30,10,60,0.23062931,0.76937069
10,30,20,10,0.203645011,0.796354989
10,30,20,20,0.214204775,0.785795225
10,30,20,30,0.223631106,0.776368894
