,Community,Mode,Time Range,Cost,MI,Cafe,Fitness,Market,Parks,Pharmacy,Restaurant,Schools,Stadium,Theater,Worship,Hospitals
0,"Arboretum, Anacostia River",drive,10,2.09375,9.19633233773926,0.009724473257698542,0.006482982171799027,0.03889789303079417,0.12641815235008105,0.019448946515397084,0.353322528363047,0.31604538087520256,0.027552674230145867,0.008103727714748784,0.09400324149108591,
1,"Arboretum, Anacostia River",drive,20,4.1875,18.144186244981537,0.027034638130104198,0.01070121092649958,0.05575894114333991,0.13742607716136301,0.034638130104196,0.3520135173190651,0.28048437059983106,0.005632216277105042,0.006195437904815546,0.08504646578428612,0.005068994649394537
2,"Arboretum, Anacostia River",drive,30,6.28125,16.032735012040416,0.03080957063257948,0.014202993554026003,0.0468698787282858,0.11646454714301323,0.041625696492953126,0.39986889544411663,0.2608980662078007,0.0030591063039440624,0.006664481590735277,0.07429258166721293,0.005244182235332678
3,"Arboretum, Anacostia River",drive,40,8.375,15.463665451585305,0.03176452314383348,0.015921093507300404,0.0505591798695247,0.07945013979496739,0.05172413793103448,0.416511338925132,0.28576421248835043,0.0022522522522522522,0.006407269338303821,0.04869524697110904,0.010950605778191983
4,"Arboretum, Anacostia River",drive,50,10.468750000000002,6.257748553601768,0.03144840290799039,0.01822428369354255,0.055857100562518504,0.07519984210006908,0.06138359814467581,0.3952761604000132,0.29300305931116155,0.0022698115069574656,0.006644955426165335,0.043817230829961515,0.01687555511694464
5,"Arboretum, Anacostia River",drive,60,12.5625,2.1748769144152074,0.03173367078750122,0.020117460008436356,0.05801615886303904,0.07469418216035563,0.06298062883286284,0.3898893539699536,0.2890100262824881,0.0034394367111197643,0.006846425906096888,0.04458288717998638,0.018689769298160228
6,"Arboretum, Anacostia River",bicycle,10,0.2602739726027397,37.94637715119964,0.0160481444332999,0.006018054162487462,0.05717151454363089,0.15245737211634905,0.027081243731193576,0.3149448345035105,0.3009027081243731,0.018054162487462385,0.006018054162487462,0.09227683049147442,0.009027081243731193
7,"Arboretum, Anacostia River",bicycle,20,0.2602739726027397,214.05258284688745,0.03325035561877667,0.013869132290184922,0.0432076813655761,0.12837837837837837,0.04000711237553343,0.38762446657183497,0.2565789473684211,0.0044452347083926026,0.006756756756756757,0.08108108108108107,0.0048008534850640106
8,"Arboretum, Anacostia River",bicycle,30,0.2602739726027397,427.610378429015,0.036671117044948826,0.015665331553182022,0.04352469959946596,0.11410769915442814,0.041922563417890524,0.40267022696929244,0.2560747663551402,0.0029372496662216294,0.007832665776591011,0.07031597685803295,0.00827770360480641
9,"Arboretum, Anacostia River",bicycle,40,0.2602739726027397,614.0309955670048,0.03595115601562016,0.014132523399243788,0.045558792537035896,0.10066323684373644,0.04574474679228911,0.4148019587181554,0.26275336267278254,0.002293435814789562,0.006756337940866548,0.06297650777908635,0.008367941486394349
10,"Arboretum, Anacostia River",bicycle,50,0.5102739726027397,669.9020821746143,0.03384830758462077,0.014899255037248137,0.047997600119994,0.09429528523573821,0.04589770511474426,0.41327933603319833,0.2737363131843408,0.002199890005499725,0.006549672516374181,0.058897055147242645,0.00839958002099895
11,"Arboretum, Anacostia River",bicycle,60,1.0102739726027397,622.4746619738345,0.0322096754031418,0.015167298637443224,0.047876994874786444,0.09058710779615817,0.04875203133463894,0.41418392433018036,0.2815117296554023,0.002208425351056294,0.0062502604275178125,0.0520021667569482,0.009250385432726363
12,"Arboretum, Anacostia River",walk,10,0.0,3.4782608695652173,,0.025,,0.17500000000000002,,0.15,0.525,0.075,,0.05,
13,"Arboretum, Anacostia River",walk,20,0.0,12.782608695652172,0.006802721088435375,0.006802721088435375,0.04081632653061225,0.14965986394557826,0.010204081632653062,0.21088435374149664,0.4285714285714286,0.05782312925170068,,0.08843537414965986,
14,"Arboretum, Anacostia River",walk,30,0.0,31.608695652173907,0.011004126547455298,0.005502063273727649,0.03301237964236589,0.15955983493810183,0.01237964236588721,0.3026134800550207,0.33012379642365897,0.02475928473177442,0.006877579092159561,0.10178817056396151,0.01237964236588721
15,"Arboretum, Anacostia River",walk,40,0.0,60.130434782608695,0.02386117136659436,0.01012292118582791,0.04772234273318872,0.1489515545914678,0.03036876355748373,0.34417932031814896,0.2798264642082429,0.013015184381778741,0.009399855386840203,0.08387563268257411,0.008676789587852495
16,"Arboretum, Anacostia River",walk,50,0.0,96.13043478260869,0.030303030303030307,0.013568521031207599,0.054274084124830396,0.13387607417458164,0.033921302578018994,0.3853459972862958,0.25237449118046135,0.008141112618724558,0.007236544549977386,0.07417458163726821,0.0067842605156037995
17,"Arboretum, Anacostia River",walk,60,0.0,134.39130434782606,0.031704949854416055,0.01423487544483986,0.05241022322872858,0.1423487544483986,0.033969589129731484,0.3966353930766743,0.23778712390812037,0.006470397929472664,0.00614687803299903,0.07246845681009384,0.005823358136525397
18,"Arboretum, Anacostia River",transit,10,2.0,1.3916750094007544,,0.022471910112359553,,0.17977528089887643,,0.13483146067415733,0.4719101123595506,0.12359550561797755,,0.06741573033707866,
19,"Arboretum, Anacostia River",transit,20,2.0,12.134155138145905,0.014175257731958763,0.015463917525773195,0.05412371134020618,0.10309278350515463,0.034793814432989685,0.38917525773195877,0.2899484536082474,0.02190721649484536,0.007731958762886597,0.06958762886597937,
20,"Arboretum, Anacostia River",transit,30,2.0,39.81128734757664,0.0361351139041634,0.011783189316575021,0.04477611940298508,0.12175962293794187,0.038884524744697564,0.40691280439905736,0.24862529457973293,0.00746268656716418,0.008248232521602514,0.06834249803613512,0.007069913589945012
21,"Arboretum, Anacostia River",transit,40,2.0,119.93423957419989,0.04693611473272489,0.01642764015645371,0.03676662320730116,0.1071707953063885,0.05045632333767926,0.45684485006518893,0.208083441981747,0.0031290743155149925,0.008344198174706647,0.05919165580182528,0.00664928292046936
22,"Arboretum, Anacostia River",transit,50,2.0,202.44962187316372,0.042017455781262064,0.016374449679462423,0.04564764038001081,0.09531165520970108,0.04750135166447826,0.4518421255889395,0.22777477407893718,0.0022399011353981617,0.007646559048428207,0.05715609793774619,0.006487989495636054
23,"Arboretum, Anacostia River",transit,60,2.0,262.68256722385706,0.03797845109827966,0.014762783499017797,0.046074171081612,0.0927436156914102,0.046967081373891294,0.4418120126197988,0.24751473301982257,0.002142984701470325,0.007381391749508899,0.0540508363593071,0.0085719388058813
24,"Brightwood Park, Crestwood, Petworth",drive,10,2.09375,18.966356896301928,0.02590673575129534,0.012435233160621763,0.027979274611398965,0.09740932642487046,0.03730569948186529,0.39378238341968913,0.2984455958549223,,0.0031088082901554407,0.10362694300518135,
25,"Brightwood Park, Crestwood, Petworth",drive,20,4.1875,28.52865860980821,0.025848645281843663,0.011211460604173154,0.05699159140454687,0.08906882591093118,0.03924011211460604,0.4011211460604173,0.2896293989411398,0.0018685767673621925,0.005294300840859545,0.06851448146994706,0.011211460604173154
26,"Brightwood Park, Crestwood, Petworth",drive,30,6.28125,32.688616207803584,0.03145349551541959,0.017201130359995088,0.04939181717655733,0.09214891264283083,0.04165130851455953,0.4113527460375968,0.2779211205307778,0.0011057869517139699,0.006511856493426712,0.06020395625998281,0.011057869517139699
27,"Brightwood Park, Crestwood, Petworth",drive,40,8.375,43.62420768015192,0.03454303312801732,0.014899284168470119,0.05318794739470618,0.089229232562011,0.05343765606792076,0.40577659397369736,0.2758032295655069,0.0022057599467288163,0.006991842850008323,0.051190278008989516,0.012735142333943733
28,"Brightwood Park, Crestwood, Petworth",drive,50,10.468750000000002,24.900607724889035,0.03183915622940013,0.019182597231377718,0.057251153592617,0.07501647989452867,0.062294001318391565,0.39558338826631506,0.29030982201713906,0.002076466710613052,0.0067237969676994065,0.04330916282135794,0.016413974950560316
29,"Brightwood Park, Crestwood, Petworth",drive,60,12.5625,11.431752027324855,0.031739850063284974,0.020121377340732806,0.058027455943919774,0.07470872683607568,0.0629928926102619,0.38996527439717,0.2890663031837212,0.0033102911108947525,0.006847759062733261,0.04452666082497647,0.018693408626229188
30,"Brightwood Park, Crestwood, Petworth",bicycle,10,0.2602739726027397,68.93601990909266,0.027999999999999997,0.010285714285714283,0.049714285714285704,0.08685714285714284,0.03771428571428571,0.38399999999999995,0.30171428571428566,0.001714285714285714,0.005714285714285713,0.09257142857142857,0.001714285714285714
31,"Brightwood Park, Crestwood, Petworth",bicycle,20,0.2602739726027397,275.35015952260443,0.032188841201716736,0.016881258941344776,0.05064377682403433,0.08955650929899857,0.04248927038626609,0.42403433476394853,0.2665236051502146,0.0010014306151645209,0.006294706723891273,0.06180257510729613,0.008583690987124463
32,"Brightwood Park, Crestwood, Petworth",bicycle,30,0.2602739726027397,548.7307184763777,0.04063173007896626,0.016080402010050253,0.0463029432878679,0.0926058865757358,0.049533381191672644,0.4305814788226849,0.2528356066044508,0.000933237616654702,0.006963388370423546,0.05384063173007897,0.009691313711414212
33,"Brightwood Park, Crestwood, Petworth",bicycle,40,0.2602739726027397,719.2193437144078,0.037955964508708515,0.015116661189615513,0.044692737430167606,0.09048088509146676,0.048964837331580684,0.43761638733705777,0.25517581334209666,0.0015335743235841827,0.007339248548581445,0.050607952678278015,0.010515938218862965
34,"Brightwood Park, Crestwood, Petworth",bicycle,50,0.5102739726027397,749.0794257819906,0.03649495384321041,0.01482756971349309,0.04677859090256852,0.09173960874348305,0.04964844310518009,0.4283732721098197,0.2628784617592194,0.0022958817620892524,0.00698330702635481,0.049074472664657774,0.010905438369923949
35,"Brightwood Park, Crestwood, Petworth",bicycle,60,1.0102739726027397,711.8867237700366,0.03364283632427031,0.01423991339467877,0.04971478536036974,0.08960319773493776,0.05096390057042929,0.4118749219302994,0.27917724944830746,0.0021651330307698715,0.006786859307990173,0.05071407752841737,0.011117125369529916
36,"Brightwood Park, Crestwood, Petworth",walk,10,0.0,6.956521739130435,0.01875,,0.0375,0.05,0.056249999999999994,0.375,0.33749999999999997,,,0.125,
37,"Brightwood Park, Crestwood, Petworth",walk,20,0.0,25.782608695652172,0.025295109612141656,0.010118043844856662,0.020236087689713324,0.09443507588532885,0.03541315345699832,0.3709949409780776,0.31365935919055654,,0.005059021922428331,0.12478920741989884,
38,"Brightwood Park, Crestwood, Petworth",walk,30,0.0,50.26086956521739,0.023356401384083042,0.012110726643598618,0.04411764705882353,0.0986159169550173,0.028546712802768166,0.39792387543252594,0.2828719723183391,0.0025951557093425604,0.005190311418685121,0.10207612456747404,0.0025951557093425604
39,"Brightwood Park, Crestwood, Petworth",walk,40,0.0,81.26086956521739,0.02675227394328518,0.010700909577314071,0.051364365971107544,0.0888175494917068,0.03531300160513644,0.4012841091492777,0.29373996789727125,0.0016051364365971107,0.005350454788657036,0.08346709470304976,0.0016051364365971107
40,"Brightwood Park, Crestwood, Petworth",walk,50,0.0,100.3913043478261,0.025985275010827195,0.009527934170636639,0.05067128627111303,0.09441316587267214,0.035080121264616716,0.3672585534863577,0.3235166738847986,0.0025985275010827194,0.006063230835859679,0.08228670420095278,0.0025985275010827194
41,"Brightwood Park, Crestwood, Petworth",walk,60,0.0,148.08695652173913,0.026717557251908396,0.01467997651203758,0.055490311215502054,0.08162066940692896,0.03963593658250147,0.41162654139753374,0.2844979448032883,0.0017615971814445098,0.005871990604815032,0.06928948913681737,0.00880798590722255
42,"Brightwood Park, Crestwood, Petworth",transit,10,2.0,4.0934752158215115,0.014925373134328356,,0.029850746268656712,0.06965174129353234,0.044776119402985065,0.38805970149253727,0.34328358208955223,,,0.10945273631840796,
43,"Brightwood Park, Crestwood, Petworth",transit,20,2.0,14.846484737979512,0.023319615912208505,0.010973936899862825,0.024691358024691357,0.10425240054869685,0.037037037037037035,0.3786008230452675,0.2962962962962963,,0.00411522633744856,0.1207133058984911,
44,"Brightwood Park, Crestwood, Petworth",transit,30,2.0,33.90863798180506,0.024024024024024027,0.009609609609609611,0.046846846846846854,0.08648648648648649,0.03603603603603604,0.40360360360360364,0.29549549549549553,0.0012012012012012014,0.006006006006006007,0.0888888888888889,0.001801801801801802
45,"Brightwood Park, Crestwood, Petworth",transit,40,2.0,95.02564854240386,0.037505357908272606,0.01971710244320617,0.048221174453493346,0.0762966138019717,0.04564937848264037,0.4590655807972566,0.23596228032576078,0.001714530647235319,0.007286755250750105,0.06600942991855978,0.0025717959708529783
