,Community,Mode,Time Range,Cost,MI,Cafe,Fitness,Market,Parks,Restaurant,Schools,Theater,Worship,Hospitals,Pharmacy,Stadium
0,Adams Normandie,drive,10,2.09375,1.3132296450656755,0.017543859649122806,0.023391812865497075,0.05263157894736842,0.10526315789473684,0.23391812865497075,0.24561403508771928,0.017543859649122806,0.30409356725146197,,,
1,Adams Normandie,drive,20,4.1875,2.057797105598378,0.05471324983520105,0.03427818061964403,0.05141727092946605,0.06064601186552406,0.38892551087673033,0.17600527356624915,0.01120632827949901,0.18325642715886617,0.005932762030323005,0.02966381015161503,0.003955174686882004
2,Adams Normandie,drive,30,6.28125,0.8608878768779467,0.05288060116893961,0.020595602560534377,0.05427219593654329,0.07069301419426664,0.3762872251600335,0.19871973281380464,0.012802671861953802,0.16977456164764823,0.010854439187308659,0.030893403840801567,0.0022265516281658785
3,Adams Normandie,drive,40,8.375,0.4184333704774622,0.05775260443005966,0.0273085870334783,0.05916860523920298,0.07788004450288256,0.37220592697481536,0.19783554162030947,0.01294629311216749,0.14989379993931423,0.01031657732375847,0.03277030444017396,0.001921715383837362
4,Adams Normandie,drive,50,10.468750000000002,0.1035716064057977,0.049729339588596176,0.023096355106459764,0.06344280043305667,0.0834355828220859,0.3445687477444966,0.22302417899675211,0.011187297004691447,0.15460122699386503,0.011909058101768316,0.033128834355828224,0.0018765788523998558
5,Adams Normandie,drive,60,12.5625,0.019267324274655606,0.04845120614035088,0.023026315789473683,0.06352796052631579,0.09100877192982457,0.33854166666666663,0.22635690789473684,0.010827850877192981,0.15145285087719298,0.012335526315789474,0.032689144736842105,0.001781798245614035
6,Adams Normandie,bicycle,10,0.410958904109589,11.508833811153622,0.02688172043010753,0.021505376344086023,0.048387096774193554,0.13440860215053765,0.23655913978494628,0.21774193548387102,0.024193548387096777,0.2634408602150538,,0.024193548387096777,0.002688172043010753
7,Adams Normandie,bicycle,20,0.410958904109589,52.28475575497211,0.04260355029585798,0.023668639053254437,0.06390532544378698,0.0650887573964497,0.3207100591715976,0.2183431952662722,0.011834319526627219,0.21301775147928995,0.007100591715976331,0.03017751479289941,0.0035502958579881655
8,Adams Normandie,bicycle,30,0.410958904109589,107.26109361093981,0.05278338621286415,0.0207672339198154,0.057975194692818005,0.06230170175944621,0.36400346120565336,0.2068070377848284,0.01442169022209403,0.17882895875396598,0.00951831554658206,0.030285549466397464,0.002307470435535045
9,Adams Normandie,bicycle,40,0.410958904109589,169.19841965913756,0.056134576705064915,0.022307551654781495,0.05650027427317609,0.058145913329676356,0.4033644176266228,0.18760285244103128,0.014262205156335712,0.15798134942402633,0.010970927043335162,0.030718595721338452,0.0020113366246114466
10,Adams Normandie,bicycle,50,0.660958904109589,170.66184185414076,0.05423728813559322,0.024465733235077378,0.05792188651436993,0.06543846720707443,0.3846720707442889,0.19587324981577006,0.014001473839351509,0.15976418570375828,0.01105379513633014,0.03095062638172439,0.001621223286661754
11,Adams Normandie,bicycle,60,1.160958904109589,136.48132401858706,0.05713241564136923,0.027774393957851137,0.05774150322816421,0.0708977951029358,0.3825070045072481,0.19113168473626507,0.012547204287976609,0.1573882324278231,0.009136313801924716,0.032159824582775,0.0015836277256669508
12,Adams Normandie,walk,10,0.0,0.30434782608695654,,,,0.5714285714285714,,,0.14285714285714285,0.2857142857142857,,,
13,Adams Normandie,walk,20,0.0,2.782608695652174,,,0.09375,0.0625,0.28125,0.234375,0.015625,0.3125,,,
14,Adams Normandie,walk,30,0.0,6.608695652173913,0.019736842105263157,0.02631578947368421,0.05921052631578947,0.09210526315789475,0.21052631578947367,0.23684210526315788,0.019736842105263157,0.3289473684210526,,,0.006578947368421052
15,Adams Normandie,walk,40,0.0,14.26086956521739,0.03048780487804878,0.024390243902439025,0.054878048780487805,0.13414634146341464,0.22560975609756098,0.21951219512195122,0.027439024390243903,0.2621951219512195,,0.018292682926829267,0.003048780487804878
16,Adams Normandie,walk,50,0.0,21.434782608695652,0.028397565922920896,0.016227180527383367,0.06693711967545639,0.11764705882352941,0.23935091277890466,0.23123732251521298,0.018255578093306288,0.25963488843813387,,0.018255578093306288,0.004056795131845842
17,Adams Normandie,walk,60,0.0,35.52173913043478,0.03671970624235006,0.012239902080783354,0.0587515299877601,0.09547123623011017,0.32068543451652387,0.22031823745410037,0.012239902080783354,0.22276621787025702,0.0036719706242350062,0.011015911872705017,0.006119951040391677
18,Adams Normandie,transit,10,1.75,0.0714591072408966,,,,0.5714285714285714,,,0.14285714285714285,0.2857142857142857,,,
19,Adams Normandie,transit,20,1.75,0.7043826285174094,,,0.08695652173913043,0.057971014492753624,0.2898550724637681,0.2608695652173913,0.014492753623188406,0.2898550724637681,,,
20,Adams Normandie,transit,30,1.75,3.2973273769728006,0.040247678018575844,0.012383900928792569,0.08359133126934983,0.06191950464396284,0.30340557275541796,0.21362229102167182,0.009287925696594427,0.25386996904024767,,0.018575851393188854,0.003095975232198142
21,Adams Normandie,transit,40,1.75,11.964296240904403,0.05034129692832764,0.015358361774744025,0.07167235494880546,0.07167235494880546,0.378839590443686,0.17918088737201363,0.012798634812286689,0.18771331058020477,0.005119453924914676,0.023037542662116037,0.004266211604095562
22,Adams Normandie,transit,50,1.75,28.930729988671565,0.06245589273112209,0.02399435426958363,0.059280169371912494,0.053634438955539876,0.45518701482004237,0.1365561044460127,0.01976005645730417,0.14537755822159493,0.007410021171489062,0.03387438249823571,0.002470007057163021
23,Adams Normandie,transit,60,1.75,44.71298424501816,0.05936073059360731,0.02374429223744292,0.056164383561643834,0.05205479452054794,0.4315068493150685,0.16232876712328767,0.01598173515981735,0.15662100456621003,0.008904109589041096,0.031506849315068496,0.0018264840182648401
24,Arleta,drive,10,2.09375,0.8027152124901697,,,,,0.057971014492753624,0.47826086956521735,,0.463768115942029,,,
25,Arleta,drive,20,4.1875,1.5128257594612815,0.01646090534979424,0.00823045267489712,0.08024691358024691,0.10288065843621398,0.16049382716049382,0.32098765432098764,0.00205761316872428,0.25925925925925924,0.012345679012345678,0.037037037037037035,
26,Arleta,drive,30,6.28125,1.1210834470514384,0.018573551263001486,0.005943536404160475,0.06463595839524518,0.12481426448736999,0.15453194650817234,0.34992570579494797,0.003714710252600297,0.237741456166419,0.01337295690936107,0.02451708766716196,0.002228826151560178
27,Arleta,drive,40,8.375,1.6353504188165948,0.045789043336058856,0.020168983374216402,0.06663941128372851,0.08394657944944123,0.36603979285908955,0.22035977105478324,0.01103843008994276,0.13682202234941396,0.01308258381030253,0.03434178250204414,0.0017715998909784674
28,Arleta,drive,50,10.468750000000002,0.8081812978360584,0.05024717774662436,0.024496421456504092,0.06529919575001844,0.08588504390171917,0.35298457905998665,0.2180329078432819,0.011067660296613293,0.1434368774441083,0.012617132738139155,0.03408839371356894,0.001844610049435549
29,Arleta,drive,60,12.5625,0.2287237663879455,0.048901290547610735,0.023299616323683287,0.06320195326124868,0.08985001743983256,0.340983606557377,0.22518311824206486,0.010742936867806066,0.15081967213114753,0.012138123474014648,0.03306592256714335,0.0018137425880711542
30,Arleta,bicycle,10,0.410958904109589,4.967667172498135,,,0.0608108108108108,0.06756756756756756,0.14864864864864866,0.40540540540540543,,0.2972972972972973,,0.020270270270270268,
31,Arleta,bicycle,20,0.410958904109589,20.1727565585904,0.019966722129783693,0.009983361064891847,0.07986688851913477,0.09983361064891848,0.1697171381031614,0.3344425956738769,0.0016638935108153079,0.23627287853577372,0.01497504159733777,0.02995008319467554,0.0033277870216306157
32,Arleta,bicycle,30,0.410958904109589,39.50638014885342,0.01614273576890399,0.0118946474086661,0.06627017841971113,0.11045029736618521,0.15463041631265928,0.35683942225998294,0.001699235344095157,0.22939677145284618,0.015293118096856411,0.03568394222599829,0.001699235344095157
33,Arleta,bicycle,40,0.410958904109589,66.4593310915291,0.02575757575757576,0.01818181818181818,0.0787878787878788,0.09999999999999999,0.18686868686868685,0.3393939393939394,0.006060606060606061,0.19292929292929295,0.015151515151515152,0.03484848484848485,0.00202020202020202
34,Arleta,bicycle,50,0.660958904109589,80.60950913191994,0.027748132337246528,0.015652792600498042,0.07257203842049093,0.09178228388473851,0.24332977588046956,0.3159018143009605,0.00711490572749911,0.1750266808964781,0.012806830309498396,0.03628601921024546,0.0017787264318747775
35,Arleta,bicycle,60,1.160958904109589,69.76378826914282,0.0288028802880288,0.015001500150015,0.07650765076507651,0.10141014101410141,0.2544254425442544,0.2988298829882988,0.006600660066006601,0.1662166216621662,0.0153015301530153,0.0351035103510351,0.0018001800180018
36,Arleta,walk,10,0.0,0.17391304347826086,,,,,,,,1.0,,,
37,Arleta,walk,20,0.0,0.5652173913043478,,,,,,0.23076923076923078,,0.7692307692307693,,,
38,Arleta,walk,30,0.0,2.6956521739130435,,,,0.03225806451612903,0.0967741935483871,0.4838709677419355,,0.3870967741935484,,,
39,Arleta,walk,40,0.0,5.869565217391304,,,0.06666666666666667,0.05925925925925926,0.13333333333333333,0.4222222222222222,,0.29629629629629634,,0.022222222222222223,
40,Arleta,walk,50,0.0,8.608695652173914,0.00505050505050505,,0.07575757575757575,0.0606060606060606,0.1313131313131313,0.40909090909090906,,0.303030303030303,,0.01515151515151515,
41,Arleta,walk,60,0.0,12.73913043478261,0.0136518771331058,,0.08191126279863481,0.08191126279863481,0.1296928327645051,0.3686006825938566,0.00341296928327645,0.27986348122866894,0.010238907849829351,0.03071672354948805,
42,Arleta,transit,10,1.75,0.05777962820303335,,,,,,,,1.0,,,
43,Arleta,transit,20,1.75,0.18778379165985837,,,,,,0.23076923076923078,,0.7692307692307693,,,
44,Arleta,transit,30,1.75,1.0111434935530834,,,0.04285714285714286,,0.08571428571428572,0.38571428571428573,,0.4857142857142857,,,
45,Arleta,transit,40,1.75,1.9500624518523753,,,0.06666666666666667,0.05925925925925926,0.13333333333333333,0.4222222222222222,,0.29629629629629634,,0.022222222222222223,
46,Arleta,transit,50,1.75,1.9933971730046502,,,0.06521739130434782,0.05797101449275363,0.13043478260869565,0.4347826086956522,,0.2898550724637681,,0.02173913043478261,
47,Arleta,transit,60,1.75,1.9933971730046502,,,0.06521739130434782,0.05797101449275363,0.13043478260869565,0.4347826086956522,,0.2898550724637681,,0.02173913043478261,
48,Arlington Heights,drive,10,2.09375,1.4094346676953515,0.02824858757062147,0.022598870056497175,0.06779661016949153,0.04519774011299435,0.3502824858757062,0.1864406779661017,,0.21468926553672318,,0.08474576271186442,
49,Arlington Heights,drive,20,4.1875,1.4671319779411998,0.04373757455268391,0.01988071570576541,0.07455268389662029,0.05765407554671969,0.3240556660039762,0.2087475149105368,0.008946322067594433,0.2226640159045726,0.0029821073558648115,0.03578528827037773,0.0009940357852882705
50,Arlington Heights,drive,30,6.28125,0.8515085918538504,0.058657465495608546,0.028858218318695113,0.05834378920953578,0.055207026348808044,0.4027603513174405,0.1797365119196989,0.016938519447929738,0.15370138017565876,0.007528230865746551,0.03575909661229612,0.002509410288582184
51,Arlington Heights,drive,40,8.375,0.48795878953126176,0.05774436090225564,0.027268170426065164,0.05954887218045113,0.07799498746867167,0.3715288220551379,0.19969924812030077,0.012832080200501254,0.14817042606516292,0.010526315789473684,0.03278195488721805,0.001904761904761905
