time.drive,time.bicycle,time.walk,time.transit,weighted.gini,MEM
10,10,10,10,0.419747435,0.580252565
10,10,10,20,0.354359337,0.645640663
10,10,10,30,0.263847973,0.736152027
10,10,10,40,0.158784337,0.841215663
10,10,10,50,0.138352492,0.861647508
10,10,10,60,0.128038564,0.871961436
10,10,20,10,0.354359337,0.645640663
10,10,20,20,0.329140407,0.670859593
10,10,20,30,0.26433086,0.73566914
10,10,20,40,0.169071974,0.830928026
10,10,20,50,0.146272569,0.853727431
10,10,20,60,0.134750582,0.865249418
10,10,30,10,0.263847973,0.736152027
10,10,30,20,0.26433086,0.73566914
10,10,30,30,0.230279256,0.769720744
10,10,30,40,0.160549323,0.839450677
10,10,30,50,0.141103384,0.858896616
10,10,30,60,0.130534781,0.869465219
10,10,40,10,0.158784337,0.841215663
10,10,40,20,0.169071974,0.830928026
10,10,40,30,0.160549323,0.839450677
10,10,40,40,0.133097765,0.866902235
10,10,40,50,0.124785256,0.875214744
10,10,40,60,0.119374786,0.880625214
10,10,50,10,0.138352492,0.861647508
10,10,50,20,0.146272569,0.853727431
10,10,50,30,0.141103384,0.858896616
10,10,50,40,0.124785256,0.875214744
10,10,50,50,0.119927852,0.880072148
10,10,50,60,0.115957272,0.884042728
10,10,60,10,0.128038564,0.871961436
10,10,60,20,0.134750582,0.865249418
10,10,60,30,0.130534781,0.869465219
10,10,60,40,0.119374786,0.880625214
10,10,60,50,0.115957272,0.884042728
10,10,60,60,0.113094169,0.886905831
10,20,10,10,0.354359337,0.645640663
10,20,10,20,0.329140407,0.670859593
10,20,10,30,0.26433086,0.73566914
10,20,10,40,0.169071974,0.830928026
10,20,10,50,0.146272569,0.853727431
10,20,10,60,0.134750582,0.865249418
10,20,20,10,0.329140407,0.670859593
10,20,20,20,0.315959391,0.684040609
10,20,20,30,0.265229259,0.734770741
10,20,20,40,0.17856975,0.82143025
10,20,20,50,0.154849964,0.845150036
10,20,20,60,0.142218167,0.857781833
10,20,30,10,0.26433086,0.73566914
10,20,30,20,0.265229259,0.734770741
10,20,30,30,0.235403009,0.764596991
10,20,30,40,0.169648325,0.830351675
10,20,30,50,0.149591851,0.850408149
10,20,30,60,0.138331149,0.861668851
10,20,40,10,0.169071974,0.830928026
10,20,40,20,0.17856975,0.82143025
10,20,40,30,0.169648325,0.830351675
10,20,40,40,0.139778663,0.860221337
10,20,40,50,0.129924411,0.870075589
10,20,40,60,0.123812185,0.876187815
10,20,50,10,0.146272569,0.853727431
10,20,50,20,0.154849964,0.845150036
10,20,50,30,0.149591851,0.850408149
10,20,50,40,0.129924411,0.870075589
10,20,50,50,0.123734311,0.876265689
10,20,50,60,0.11932957,0.88067043
10,20,60,10,0.134750582,0.865249418
10,20,60,20,0.142218167,0.857781833
10,20,60,30,0.138331149,0.861668851
10,20,60,40,0.123812185,0.876187815
10,20,60,50,0.11932957,0.88067043
10,20,60,60,0.115862033,0.884137967
10,30,10,10,0.263847973,0.736152027
10,30,10,20,0.26433086,0.73566914
10,30,10,30,0.230279256,0.769720744
10,30,10,40,0.160549323,0.839450677
10,30,10,50,0.141103384,0.858896616
10,30,10,60,0.130534781,0.869465219
10,30,20,10,0.26433086,0.73566914
10,30,20,20,0.265229259,0.734770741
10,30,20,30,0.235403009,0.764596991
10,30,20,40,0.169648325,0.830351675
10,30,20,50,0.149591851,0.850408149
10,30,20,60,0.138331149,0.861668851
10,30,30,10,0.230279256,0.769720744
10,30,30,20,0.235403009,0.764596991
10,30,30,30,0.215940838,0.784059162
10,30,30,40,0.163620196,0.836379804
10,30,30,50,0.146198596,0.853801404
10,30,30,60,0.135910704,0.864089296
10,30,40,10,0.160549323,0.839450677
10,30,40,20,0.169648325,0.830351675
10,30,40,30,0.163620196,0.836379804
10,30,40,40,0.13719908,0.86280092
10,30,40,50,0.127935022,0.872064978
10,30,40,60,0.122003314,0.877996686
10,30,50,10,0.141103384,0.858896616
10,30,50,20,0.149591851,0.850408149
10,30,50,30,0.146198596,0.853801404
10,30,50,40,0.127935022,0.872064978
10,30,50,50,0.121822252,0.878177748
10,30,50,60,0.11751259,0.88248741
10,30,60,10,0.130534781,0.869465219
10,30,60,20,0.138331149,0.861668851
10,30,60,30,0.135910704,0.864089296
10,30,60,40,0.122003314,0.877996686
10,30,60,50,0.11751259,0.88248741
10,30,60,60,0.114118634,0.885881366
10,40,10,10,0.158784337,0.841215663
10,40,10,20,0.169071974,0.830928026
10,40,10,30,0.160549323,0.839450677
10,40,10,40,0.133097765,0.866902235
