time.drive,time.bicycle,time.walk,time.transit,weighted.gini,MEM
10,10,10,10,0.364252979,0.635747021
10,10,10,20,0.408957264,0.591042736
10,10,10,30,0.471394263,0.528605737
10,10,10,40,0.500710175,0.499289825
10,10,10,50,0.490480163,0.509519837
10,10,10,60,0.462162853,0.537837147
10,10,20,10,0.363648505,0.636351495
10,10,20,20,0.399608365,0.600391635
10,10,20,30,0.45398878,0.54601122
10,10,20,40,0.483985027,0.516014973
10,10,20,50,0.477846356,0.522153644
10,10,20,60,0.45238823,0.54761177
10,10,30,10,0.352233916,0.647766084
10,10,30,20,0.380662117,0.619337883
10,10,30,30,0.427324867,0.572675133
10,10,30,40,0.458194379,0.541805621
10,10,30,50,0.456991859,0.543008141
10,10,30,60,0.435905021,0.564094979
10,10,40,10,0.335080452,0.664919548
10,10,40,20,0.357837942,0.642162058
10,10,40,30,0.398106027,0.601893973
10,10,40,40,0.428992606,0.571007394
10,10,40,50,0.432350647,0.567649353
10,10,40,60,0.415510886,0.584489114
10,10,50,10,0.32038593,0.67961407
10,10,50,20,0.338823099,0.661176901
10,10,50,30,0.372720555,0.627279445
10,10,50,40,0.401962234,0.598037766
10,10,50,50,0.407991281,0.592008719
10,10,50,60,0.394450485,0.605549515
10,10,60,10,0.303782139,0.696217861
10,10,60,20,0.318962301,0.681037699
10,10,60,30,0.347943043,0.652056957
10,10,60,40,0.375129719,0.624870281
10,10,60,50,0.3828798,0.6171202
10,10,60,60,0.372961765,0.627038235
10,20,10,10,0.308201763,0.691798237
10,20,10,20,0.327530414,0.672469586
10,20,10,30,0.363964003,0.636035997
10,20,10,40,0.396035885,0.603964115
10,20,10,50,0.405026069,0.594973931
10,20,10,60,0.395401413,0.604598587
10,20,20,10,0.310498127,0.689501873
10,20,20,20,0.328248858,0.671751142
10,20,20,30,0.361984668,0.638015332
10,20,20,40,0.392367927,0.607632073
10,20,20,50,0.401193961,0.598806039
10,20,20,60,0.392042249,0.607957751
10,20,30,10,0.308844679,0.691155321
10,20,30,20,0.324728675,0.675271325
10,20,30,30,0.355272456,0.644727544
10,20,30,40,0.383752379,0.616247621
10,20,30,50,0.392781687,0.607218313
10,20,30,60,0.384514535,0.615485465
10,20,40,10,0.304628761,0.695371239
10,20,40,20,0.318610446,0.681389554
10,20,40,30,0.345929529,0.654070471
10,20,40,40,0.372304599,0.627695401
10,20,40,50,0.381450977,0.618549023
10,20,40,60,0.374092693,0.625907307
10,20,50,10,0.300614837,0.699385163
