,Community,Mode,Time Range,Cost,MI
0,Allerton,drive,10,2.046875,115122.96060717889
1,Allerton,drive,20,4.09375,85457.72061283459
2,Allerton,drive,30,6.140625,63436.7112678814
3,Allerton,drive,40,8.1875,47090.143612842505
4,Allerton,drive,50,10.234375000000002,34955.80999011944
5,Allerton,drive,60,12.28125,25948.28892668939
6,Allerton,bicycle,10,0.5616438356164384,42818.902690194096
7,Allerton,bicycle,20,0.5616438356164384,42818.902690194096
8,Allerton,bicycle,30,0.5616438356164384,42818.902690194096
9,Allerton,bicycle,40,0.5616438356164384,42818.902690194096
10,Allerton,bicycle,50,0.8116438356164384,41288.552087129574
11,Allerton,bicycle,60,1.3116438356164384,38389.98059917694
12,Allerton,walk,10,0.0,5295.0
13,Allerton,walk,20,0.0,5295.0
14,Allerton,walk,30,0.0,5295.0
15,Allerton,walk,40,0.0,5295.0
16,Allerton,walk,50,0.0,5295.0
17,Allerton,walk,60,0.0,5295.0
18,Allerton,transit,10,2.9,21349.589773765616
19,Allerton,transit,20,2.9,21349.589773765616
20,Allerton,transit,30,2.9,21349.589773765616
21,Allerton,transit,40,2.9,21349.589773765616
22,Allerton,transit,50,2.9,21349.589773765616
23,Allerton,transit,60,2.9,21349.589773765616
24,Alley Pond Park,drive,10,2.046875,
25,Alley Pond Park,drive,20,4.09375,
26,Alley Pond Park,drive,30,6.140625,
27,Alley Pond Park,drive,40,8.1875,
28,Alley Pond Park,drive,50,10.234375000000002,
29,Alley Pond Park,drive,60,12.28125,
30,Alley Pond Park,bicycle,10,0.5616438356164384,
31,Alley Pond Park,bicycle,20,0.5616438356164384,
32,Alley Pond Park,bicycle,30,0.5616438356164384,
33,Alley Pond Park,bicycle,40,0.5616438356164384,
34,Alley Pond Park,bicycle,50,0.8116438356164384,
35,Alley Pond Park,bicycle,60,1.3116438356164384,
36,Alley Pond Park,walk,10,0.0,
37,Alley Pond Park,walk,20,0.0,
38,Alley Pond Park,walk,30,0.0,
39,Alley Pond Park,walk,40,0.0,
40,Alley Pond Park,walk,50,0.0,
41,Alley Pond Park,walk,60,0.0,
42,Alley Pond Park,transit,10,2.9,
43,Alley Pond Park,transit,20,2.9,
44,Alley Pond Park,transit,30,2.9,
45,Alley Pond Park,transit,40,2.9,
46,Alley Pond Park,transit,50,2.9,
47,Alley Pond Park,transit,60,2.9,
48,Arden Heights,drive,10,2.046875,34202.12810473655
49,Arden Heights,drive,20,4.09375,16705.256221246837
50,Arden Heights,drive,30,6.140625,8159.304724049007
