Community,Mode,Time Range,Cost,MI
"Arboretum, Anacostia River",drive,10,2.09375,26242.93346
"Arboretum, Anacostia River",drive,20,4.1875,15197.87172
"Arboretum, Anacostia River",drive,30,6.28125,8801.428584
"Arboretum, Anacostia River",drive,40,8.375,5097.104816
"Arboretum, Anacostia River",drive,50,10.46875,2951.847789
"Arboretum, Anacostia River",drive,60,12.5625,1709.4813
"Arboretum, Anacostia River",bicycle,10,0.260273973,33507.69118
"Arboretum, Anacostia River",bicycle,20,0.260273973,33507.69118
"Arboretum, Anacostia River",bicycle,30,0.260273973,33507.69118
"Arboretum, Anacostia River",bicycle,40,0.260273973,33507.69118
"Arboretum, Anacostia River",bicycle,50,0.510273973,31391.97076
"Arboretum, Anacostia River",bicycle,60,1.010273973,27552.86316
"Arboretum, Anacostia River",walk,10,0,3612
"Arboretum, Anacostia River",walk,20,0,3612
"Arboretum, Anacostia River",walk,30,0,3612
"Arboretum, Anacostia River",walk,40,0,3612
"Arboretum, Anacostia River",walk,50,0,3612
"Arboretum, Anacostia River",walk,60,0,3612
"Arboretum, Anacostia River",transit,10,2,11389.12138
"Arboretum, Anacostia River",transit,20,2,11389.12138
"Arboretum, Anacostia River",transit,30,2,11389.12138
"Arboretum, Anacostia River",transit,40,2,11389.12138
"Arboretum, Anacostia River",transit,50,2,11389.12138
"Arboretum, Anacostia River",transit,60,2,11389.12138
"Brightwood Park, Crestwood, Petworth",drive,10,2.09375,19339.32376
"Brightwood Park, Crestwood, Petworth",drive,20,4.1875,8493.458461
"Brightwood Park, Crestwood, Petworth",drive,30,6.28125,3730.163347
"Brightwood Park, Crestwood, Petworth",drive,40,8.375,1638.215888
"Brightwood Park, Crestwood, Petworth",drive,50,10.46875,719.4728611
"Brightwood Park, Crestwood, Petworth",drive,60,12.5625,315.9786214
"Brightwood Park, Crestwood, Petworth",bicycle,10,0.260273973,35683.7802
"Brightwood Park, Crestwood, Petworth",bicycle,20,0.260273973,35683.7802
"Brightwood Park, Crestwood, Petworth",bicycle,30,0.260273973,35683.7802
"Brightwood Park, Crestwood, Petworth",bicycle,40,0.260273973,35683.7802
"Brightwood Park, Crestwood, Petworth",bicycle,50,0.510273973,32344.57112
"Brightwood Park, Crestwood, Petworth",bicycle,60,1.010273973,26574.33953
"Brightwood Park, Crestwood, Petworth",walk,10,0,4290
"Brightwood Park, Crestwood, Petworth",walk,20,0,4290
"Brightwood Park, Crestwood, Petworth",walk,30,0,4290
"Brightwood Park, Crestwood, Petworth",walk,40,0,4290
"Brightwood Park, Crestwood, Petworth",walk,50,0,4290
"Brightwood Park, Crestwood, Petworth",walk,60,0,4290
"Brightwood Park, Crestwood, Petworth",transit,10,2,6849.990792
"Brightwood Park, Crestwood, Petworth",transit,20,2,6849.990792
"Brightwood Park, Crestwood, Petworth",transit,30,2,6849.990792
"Brightwood Park, Crestwood, Petworth",transit,40,2,6849.990792
"Brightwood Park, Crestwood, Petworth",transit,50,2,6849.990792
"Brightwood Park, Crestwood, Petworth",transit,60,2,6849.990792
"Brookland, Brentwood, Langdon",drive,10,2.09375,24849.44304
"Brookland, Brentwood, Langdon",drive,20,4.1875,13770.7638
"Brookland, Brentwood, Langdon",drive,30,6.28125,7631.315329
"Brookland, Brentwood, Langdon",drive,40,8.375,4229.030031
"Brookland, Brentwood, Langdon",drive,50,10.46875,2343.592714
"Brookland, Brentwood, Langdon",drive,60,12.5625,1298.743865
"Brookland, Brentwood, Langdon",bicycle,10,0.260273973,38660.47249
"Brookland, Brentwood, Langdon",bicycle,20,0.260273973,38660.47249
"Brookland, Brentwood, Langdon",bicycle,30,0.260273973,38660.47249
"Brookland, Brentwood, Langdon",bicycle,40,0.260273973,38660.47249
"Brookland, Brentwood, Langdon",bicycle,50,0.510273973,36029.41177
"Brookland, Brentwood, Langdon",bicycle,60,1.010273973,31292.27948
"Brookland, Brentwood, Langdon",walk,10,0,2728
"Brookland, Brentwood, Langdon",walk,20,0,2728
"Brookland, Brentwood, Langdon",walk,30,0,2728
"Brookland, Brentwood, Langdon",walk,40,0,2728
"Brookland, Brentwood, Langdon",walk,50,0,2728
"Brookland, Brentwood, Langdon",walk,60,0,2728
"Brookland, Brentwood, Langdon",transit,10,2,8155.05537
"Brookland, Brentwood, Langdon",transit,20,2,8155.05537
"Brookland, Brentwood, Langdon",transit,30,2,8155.05537
"Brookland, Brentwood, Langdon",transit,40,2,8155.05537
"Brookland, Brentwood, Langdon",transit,50,2,8155.05537
"Brookland, Brentwood, Langdon",transit,60,2,8155.05537
"Capitol Hill, Lincoln Park",drive,10,2.09375,14442.46292
"Capitol Hill, Lincoln Park",drive,20,4.1875,4688.140235
"Capitol Hill, Lincoln Park",drive,30,6.28125,1521.808225
"Capitol Hill, Lincoln Park",drive,40,8.375,493.9912538
"Capitol Hill, Lincoln Park",drive,50,10.46875,160.353555
"Capitol Hill, Lincoln Park",drive,60,12.5625,52.05206043
"Capitol Hill, Lincoln Park",bicycle,10,0.260273973,33360.01683
"Capitol Hill, Lincoln Park",bicycle,20,0.260273973,33360.01683
"Capitol Hill, Lincoln Park",bicycle,30,0.260273973,33360.01683
"Capitol Hill, Lincoln Park",bicycle,40,0.260273973,33360.01683
"Capitol Hill, Lincoln Park",bicycle,50,0.510273973,29166.28443
"Capitol Hill, Lincoln Park",bicycle,60,1.010273973,22294.14381
"Capitol Hill, Lincoln Park",walk,10,0,5598
"Capitol Hill, Lincoln Park",walk,20,0,5598
"Capitol Hill, Lincoln Park",walk,30,0,5598
"Capitol Hill, Lincoln Park",walk,40,0,5598
"Capitol Hill, Lincoln Park",walk,50,0,5598
"Capitol Hill, Lincoln Park",walk,60,0,5598
"Capitol Hill, Lincoln Park",transit,10,2,8342.316345
"Capitol Hill, Lincoln Park",transit,20,2,8342.316345
"Capitol Hill, Lincoln Park",transit,30,2,8342.316345
"Capitol Hill, Lincoln Park",transit,40,2,8342.316345
"Capitol Hill, Lincoln Park",transit,50,2,8342.316345
"Capitol Hill, Lincoln Park",transit,60,2,8342.316345
"Capitol View, Marshall Heights, Benning Heights",drive,10,2.09375,32444.14974
"Capitol View, Marshall Heights, Benning Heights",drive,20,4.1875,26778.16409
"Capitol View, Marshall Heights, Benning Heights",drive,30,6.28125,22101.67559
"Capitol View, Marshall Heights, Benning Heights",drive,40,8.375,18241.88029
"Capitol View, Marshall Heights, Benning Heights",drive,50,10.46875,15056.15242
"Capitol View, Marshall Heights, Benning Heights",drive,60,12.5625,12426.77412
"Capitol View, Marshall Heights, Benning Heights",bicycle,10,0.260273973,26900.45788
"Capitol View, Marshall Heights, Benning Heights",bicycle,20,0.260273973,26900.45788
"Capitol View, Marshall Heights, Benning Heights",bicycle,30,0.260273973,26900.45788
"Capitol View, Marshall Heights, Benning Heights",bicycle,40,0.260273973,26900.45788
"Capitol View, Marshall Heights, Benning Heights",bicycle,50,0.510273973,26290.97941
"Capitol View, Marshall Heights, Benning Heights",bicycle,60,1.010273973,25113.13611
"Capitol View, Marshall Heights, Benning Heights",walk,10,0,1448
"Capitol View, Marshall Heights, Benning Heights",walk,20,0,1448
"Capitol View, Marshall Heights, Benning Heights",walk,30,0,1448
"Capitol View, Marshall Heights, Benning Heights",walk,40,0,1448
"Capitol View, Marshall Heights, Benning Heights",walk,50,0,1448
"Capitol View, Marshall Heights, Benning Heights",walk,60,0,1448
"Capitol View, Marshall Heights, Benning Heights",transit,10,2,8850.154651
"Capitol View, Marshall Heights, Benning Heights",transit,20,2,8850.154651
"Capitol View, Marshall Heights, Benning Heights",transit,30,2,8850.154651
"Capitol View, Marshall Heights, Benning Heights",transit,40,2,8850.154651
"Capitol View, Marshall Heights, Benning Heights",transit,50,2,8850.154651
"Capitol View, Marshall Heights, Benning Heights",transit,60,2,8850.154651
"Cathedral Heights, McLean Gardens, Glover Park",drive,10,2.09375,22169.70377
"Cathedral Heights, McLean Gardens, Glover Park",drive,20,4.1875,11136.44277
"Cathedral Heights, McLean Gardens, Glover Park",drive,30,6.28125,5594.136887
"Cathedral Heights, McLean Gardens, Glover Park",drive,40,8.375,2810.086501
"Cathedral Heights, McLean Gardens, Glover Park",drive,50,10.46875,1411.582574
"Cathedral Heights, McLean Gardens, Glover Park",drive,60,12.5625,709.076166
"Cathedral Heights, McLean Gardens, Glover Park",bicycle,10,0.260273973,36778.56702
"Cathedral Heights, McLean Gardens, Glover Park",bicycle,20,0.260273973,36778.56702
"Cathedral Heights, McLean Gardens, Glover Park",bicycle,30,0.260273973,36778.56702
"Cathedral Heights, McLean Gardens, Glover Park",bicycle,40,0.260273973,36778.56702
"Cathedral Heights, McLean Gardens, Glover Park",bicycle,50,0.510273973,33875.96781
"Cathedral Heights, McLean Gardens, Glover Park",bicycle,60,1.010273973,28739.91811
"Cathedral Heights, McLean Gardens, Glover Park",walk,10,0,2697
"Cathedral Heights, McLean Gardens, Glover Park",walk,20,0,2697
"Cathedral Heights, McLean Gardens, Glover Park",walk,30,0,2697
"Cathedral Heights, McLean Gardens, Glover Park",walk,40,0,2697
"Cathedral Heights, McLean Gardens, Glover Park",walk,50,0,2697
"Cathedral Heights, McLean Gardens, Glover Park",walk,60,0,2697
"Cathedral Heights, McLean Gardens, Glover Park",transit,10,2,3695.281121
"Cathedral Heights, McLean Gardens, Glover Park",transit,20,2,3695.281121
"Cathedral Heights, McLean Gardens, Glover Park",transit,30,2,3695.281121
"Cathedral Heights, McLean Gardens, Glover Park",transit,40,2,3695.281121
